Date,Price
1/14/2020,78.17
1/15/2020,77.83
1/16/2020,78.81
1/17/2020,79.68
1/21/2020,79.14
1/22/2020,79.42
1/23/2020,79.81
1/24/2020,79.58
1/27/2020,77.24
1/28/2020,79.42
1/29/2020,81.08
1/30/2020,80.97
1/31/2020,77.38
2/3/2020,77.17
2/4/2020,79.71
2/5/2020,80.36
2/6/2020,81.3
2/7/2020,80.01
2/10/2020,80.39
2/11/2020,79.9
2/12/2020,81.8
2/13/2020,81.22
2/14/2020,81.24
2/18/2020,79.75
2/19/2020,80.91
2/20/2020,80.08
2/21/2020,78.26
2/24/2020,74.55
2/25/2020,72.02
2/26/2020,73.16
2/27/2020,68.38
2/28/2020,68.34
3/2/2020,74.7
3/3/2020,72.33
3/4/2020,75.69
3/5/2020,73.23
3/6/2020,72.26
3/9/2020,66.54
3/10/2020,71.33
3/11/2020,68.86
3/12/2020,62.06
3/13/2020,69.49
3/16/2020,60.55
3/17/2020,63.22
3/18/2020,61.67
3/19/2020,61.2
3/20/2020,57.31
3/23/2020,56.09
3/24/2020,61.72
3/25/2020,61.38
3/26/2020,64.61
3/27/2020,61.94
3/30/2020,63.7
3/31/2020,63.57
4/1/2020,60.23
4/2/2020,61.23
4/3/2020,60.35
4/6/2020,65.62
4/7/2020,64.86
4/8/2020,66.52
4/9/2020,67
4/13/2020,68.31
4/14/2020,71.76
4/15/2020,71.11
4/16/2020,71.67
4/17/2020,70.7
4/20/2020,69.23
4/21/2020,67.09
4/22/2020,69.03
4/23/2020,68.76
4/24/2020,70.74
4/27/2020,70.79
4/28/2020,69.64
4/29/2020,71.93
4/30/2020,73.45
5/1/2020,72.27
5/4/2020,73.29
5/5/2020,74.39
5/6/2020,75.16
5/7/2020,75.94
5/8/2020,77.53
5/11/2020,78.75
5/12/2020,77.85
5/13/2020,76.91
5/14/2020,77.39
5/15/2020,76.93
5/18/2020,78.74
5/19/2020,78.28
5/20/2020,79.81
5/21/2020,79.21
5/22/2020,79.72
5/26/2020,79.18
5/27/2020,79.53
5/28/2020,79.56
5/29/2020,79.48
6/1/2020,80.46
6/2/2020,80.83
6/3/2020,81.28
6/4/2020,80.58
6/5/2020,82.88
6/8/2020,83.36
6/9/2020,86
6/10/2020,88.21
6/11/2020,83.97
6/12/2020,84.7
6/15/2020,85.75
6/16/2020,88.02
6/17/2020,87.9
6/18/2020,87.93
6/19/2020,87.43
6/22/2020,89.72
6/23/2020,91.63
6/24/2020,90.02
6/25/2020,91.21
6/26/2020,88.41
6/29/2020,90.44
6/30/2020,91.2
7/1/2020,91.03
7/2/2020,91.03
7/6/2020,93.46
7/7/2020,93.17
7/8/2020,95.34
7/9/2020,95.68
7/10/2020,95.92
7/13/2020,95.48
7/14/2020,97.06
7/15/2020,97.72
7/16/2020,96.52
7/17/2020,96.33
7/20/2020,98.36
7/21/2020,97
7/22/2020,97.27
7/23/2020,92.84
7/24/2020,92.61
7/27/2020,94.81
7/28/2020,93.25
7/29/2020,95.04
7/30/2020,96.19
7/31/2020,106.26
8/3/2020,108.94
8/4/2020,109.67
8/5/2020,110.06
8/6/2020,113.9
8/7/2020,111.11
8/10/2020,112.73
8/11/2020,109.38
8/12/2020,113.01
8/13/2020,115.01
8/14/2020,114.91
8/17/2020,114.61
8/18/2020,115.56
8/19/2020,115.71
8/20/2020,118.28
8/21/2020,124.37
8/24/2020,125.86
8/25/2020,124.83
8/26/2020,126.52
8/27/2020,125.01
8/28/2020,124.81
8/31/2020,129.04
9/1/2020,134.18
9/2/2020,131.4
9/3/2020,120.88
9/4/2020,120.96
9/8/2020,112.82
9/9/2020,117.32
9/10/2020,113.49
9/11/2020,112
9/14/2020,115.36
9/15/2020,115.54
9/16/2020,112.13
9/17/2020,110.34
9/18/2020,106.84
9/21/2020,110.08
9/22/2020,111.81
9/23/2020,107.12
9/24/2020,108.22
9/25/2020,112.28
9/28/2020,114.96
9/29/2020,114.09
9/30/2020,115.81
10/1/2020,116.79
10/2/2020,113.02
10/5/2020,116.5
10/6/2020,113.16
10/7/2020,115.08
10/8/2020,114.97
10/9/2020,116.97
10/12/2020,124.4
10/13/2020,121.1
10/14/2020,121.19
10/15/2020,120.71
10/16/2020,119.02
10/19/2020,115.98
10/20/2020,117.51
10/21/2020,116.87
10/22/2020,115.75
10/23/2020,115.04
10/26/2020,115.05
10/27/2020,116.6
10/28/2020,111.2
10/29/2020,115.32
10/30/2020,108.86
11/2/2020,108.77
11/3/2020,110.44
11/4/2020,114.95
11/5/2020,119.03
11/6/2020,118.69
11/9/2020,116.32
11/10/2020,115.97
11/11/2020,119.49
11/12/2020,119.21
11/13/2020,119.26
11/16/2020,120.3
11/17/2020,119.39
11/18/2020,118.03
11/19/2020,118.64
11/20/2020,117.34
11/23/2020,113.85
11/24/2020,115.17
11/25/2020,116.03
11/27/2020,116.59
11/30/2020,119.05
12/1/2020,122.72
12/2/2020,123.08
12/3/2020,122.94
12/4/2020,122.25
12/7/2020,123.75
12/8/2020,124.38
12/9/2020,121.78
12/10/2020,123.24
12/11/2020,122.41
12/14/2020,121.78
12/15/2020,127.88
12/16/2020,127.81
12/17/2020,128.7
12/18/2020,126.65
12/21/2020,128.23
12/22/2020,131.88
12/23/2020,130.96
12/24/2020,131.97
12/28/2020,136.69
12/29/2020,134.87
12/30/2020,133.72
12/31/2020,132.69
1/4/2021,129.41
1/5/2021,131.01
1/6/2021,126.6
1/7/2021,130.92
1/8/2021,132.05
1/11/2021,128.98
1/12/2021,128.8
1/13/2021,130.89
1/14/2021,128.91
1/15/2021,127.14
1/19/2021,127.83
1/20/2021,132.03
1/21/2021,136.87
1/22/2021,139.07
1/25/2021,142.92
1/26/2021,143.16
1/27/2021,142.06
1/28/2021,137.09
1/29/2021,131.96
2/1/2021,134.14
2/2/2021,134.99
2/3/2021,133.94
2/4/2021,137.39
2/5/2021,136.76
2/8/2021,136.91
2/9/2021,136.01
2/10/2021,135.39
2/11/2021,135.13
2/12/2021,135.37
2/16/2021,133.19
2/17/2021,130.84
2/18/2021,129.71
2/19/2021,129.87
2/22/2021,126
2/23/2021,125.86
2/24/2021,125.35
2/25/2021,120.99
2/26/2021,121.26
3/1/2021,127.79
3/2/2021,125.12
3/3/2021,122.06
3/4/2021,120.13
3/5/2021,121.42
3/8/2021,116.36
3/9/2021,121.08
3/10/2021,119.98
3/11/2021,121.96
3/12/2021,121.03
3/15/2021,123.99
3/16/2021,125.57
3/17/2021,124.76
3/18/2021,120.53
3/19/2021,119.99
3/22/2021,123.39
3/23/2021,122.54
3/24/2021,120.09
3/25/2021,120.59
3/26/2021,121.21
3/29/2021,121.39
3/30/2021,119.9
3/31/2021,122.15
4/1/2021,123
4/5/2021,125.9
4/6/2021,126.21
4/7/2021,127.9
4/8/2021,130.36
4/9/2021,132.99
4/12/2021,131.24
4/13/2021,134.43
4/14/2021,132.03
4/15/2021,134.5
4/16/2021,134.16
4/19/2021,134.84
4/20/2021,133.11
4/21/2021,133.5
4/22/2021,131.94
4/23/2021,134.32
4/26/2021,134.72
4/27/2021,134.39
4/28/2021,133.58
4/29/2021,133.48
4/30/2021,131.46
5/3/2021,132.54
5/4/2021,127.85
5/5/2021,128.1
5/6/2021,129.74
5/7/2021,130.21
5/10/2021,126.85
5/11/2021,125.91
5/12/2021,122.77
5/13/2021,124.97
5/14/2021,127.45
5/17/2021,126.27
5/18/2021,124.85
5/19/2021,124.69
5/20/2021,127.31
5/21/2021,125.43
5/24/2021,127.1
5/25/2021,126.9
5/26/2021,126.85
5/27/2021,125.28
5/28/2021,124.61
6/1/2021,124.28
6/2/2021,125.06
6/3/2021,123.54
6/4/2021,125.89
6/7/2021,125.9
6/8/2021,126.74
6/9/2021,127.13
6/10/2021,126.11
6/11/2021,127.35
6/14/2021,130.48
6/15/2021,129.64
6/16/2021,130.15
6/17/2021,131.79
6/18/2021,130.46
6/21/2021,132.3
6/22/2021,133.98
6/23/2021,133.7
6/24/2021,133.41
6/25/2021,133.11
6/28/2021,134.78
6/29/2021,136.33
6/30/2021,136.96
7/1/2021,137.27
7/2/2021,139.96
7/6/2021,142.02
7/7/2021,144.57
7/8/2021,143.24
7/9/2021,145.11
7/12/2021,144.5
7/13/2021,145.64
7/14/2021,149.15
7/15/2021,148.48
7/16/2021,146.39
7/19/2021,142.45
7/20/2021,146.15
7/21/2021,145.4
7/22/2021,146.8
7/23/2021,148.56
7/26/2021,148.99
7/27/2021,146.77
7/28/2021,144.98
7/29/2021,145.64
7/30/2021,145.86
8/2/2021,145.52
8/3/2021,147.36
8/4/2021,146.95
8/5/2021,147.06
8/6/2021,146.14
8/9/2021,146.09
8/10/2021,145.6
8/11/2021,145.86
8/12/2021,148.89
8/13/2021,149.1
8/16/2021,151.12
8/17/2021,150.19
8/18/2021,146.36
8/19/2021,146.7
8/20/2021,148.19
8/23/2021,149.71
8/24/2021,149.62
8/25/2021,148.36
8/26/2021,147.54
8/27/2021,148.6
8/30/2021,153.12
8/31/2021,151.83
9/1/2021,152.51
9/2/2021,153.65
9/3/2021,154.3
9/7/2021,156.69
9/8/2021,155.11
9/9/2021,154.07
9/10/2021,148.97
9/13/2021,149.55
9/14/2021,148.12
